player_id,total_games,games_played,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards
93720,35,30,4,7,1.8,14,,
503770,2,2,,,,1,,
565821,1,,,,,,,
475411,9,7,,,1.43,,2,
320141,36,28,1,,1.32,1,5,
99331,25,10,,,1.2,1,2,
214056,34,28,,,1.5,1,4,
42412,20,18,1,1,1.61,4,3,
293168,17,2,,,1.5,,,
714458,3,,,,,,,
505194,27,22,,1,1.27,1,2,
40611,9,4,,,0.5,1,1,
262226,29,27,1,,1.52,2,1,
413220,15,13,,,1.46,1,,
215876,24,14,1,3,1.57,4,3,
530732,15,7,,,0.43,2,2,
274839,21,19,,,1.32,2,4,
344605,26,19,,1,1.37,6,,
341501,31,6,,,1.33,3,1,
111051,17,14,,,1.57,5,3,
533657,5,1,,,,,,
249565,33,32,6,4,1.47,5,3,
129588,26,23,2,2,1.74,10,3,
475188,36,28,1,2,1.46,4,4,
61560,34,17,1,2,1.35,,3,
294057,35,35,12,8,1.4,14,3,
621193,5,1,,,3,,,
398065,35,32,6,10,1.34,11,2,
246968,32,14,2,3,1.14,5,,
406040,33,26,6,,1.12,13,2,
295330,35,26,4,5,1.12,9,1,
365172,36,23,5,3,1.17,11,2,
197838,27,25,15,2,1.56,5,2,
253677,36,36,1,3,1.22,,11,
413403,32,29,2,,1.21,3,4,1
215118,23,13,1,,1.15,2,1,
342046,27,10,,,1.6,1,1,
233124,26,7,1,,1.14,1,,
875929,3,,,,,,,
126664,30,29,,4,1.17,3,6,
250478,36,33,1,1,1.42,3,3,
670846,7,,,,,,,
425334,38,38,4,3,1.18,3,8,
354352,34,33,,4,1.7,9,4,
14086,36,24,,2,1.38,4,2,
626888,2,,,,,,,
324882,24,16,,,0.94,5,5,
645686,1,,,,,,,
447661,34,34,2,3,1.24,9,7,
193116,35,35,3,4,1.23,3,8,
503749,35,34,6,1,1.21,15,6,
174094,27,10,,,1.3,3,,
659459,31,12,,1,1.33,2,,
696589,22,3,,,2.33,1,1,
61653,2,,,,,,,
646658,3,,,,,,,
387626,20,18,1,2,0.89,5,3,
80444,35,31,7,3,1.26,16,1,
234189,17,14,6,4,1.79,11,1,
665390,9,1,,,3,,,
321247,37,35,4,6,1.11,17,1,
131996,19,9,,,0.44,1,,
183720,28,11,1,1,1.18,2,2,
324358,35,35,11,2,1.2,5,7,
134294,33,30,7,6,1.23,15,4,
381362,19,12,,,2.08,5,1,
182894,27,14,2,2,1.57,4,4,
288255,31,15,2,,1.13,2,1,
127187,31,30,2,4,1.13,2,6,
221025,21,14,,1,1.14,5,3,
314210,15,6,1,,0.83,1,1,
50362,16,11,,,1.18,6,2,
663225,5,3,,,0.33,,,
612749,5,1,,,,,,
242631,35,28,2,2,1.32,7,1,
207929,37,21,1,,1.14,4,4,
726992,1,,,,,,,
292417,34,34,5,4,1.03,19,3,
503733,37,35,4,2,0.91,11,4,
627248,11,3,,,1.67,,1,
183720,28,11,1,1,1.18,2,2,
61842,25,21,3,2,1,6,3,
378710,30,30,10,5,1.13,7,8,
306024,20,17,5,2,1.18,6,2,
364135,33,33,5,3,2,11,5,
80197,30,20,1,1,0.85,3,2,
45671,8,1,,,,,,
344009,1,,,,,,,
511550,19,13,3,,1.46,3,1,
128901,38,38,4,,1.34,3,4,
525247,32,30,1,,1.53,2,3,
204198,33,31,2,,1.32,4,6,
142310,24,10,,,0.8,,1,
716276,5,,,,,,,
606718,33,20,1,,1.4,2,5,
495993,1,,,,,,,
539807,11,,,,,,,
578391,35,23,1,4,1.13,3,4,
175446,17,13,2,,0.85,2,1,
504581,2,,,,,,,
137745,50,36,1,2,1.56,6,9,
698678,4,,,,,,,
231572,29,25,,1,1.56,6,1,
485583,29,8,,,0.75,1,1,
225161,33,33,4,2,1.33,4,9,
168157,37,30,2,2,1.47,4,4,
29364,36,35,2,1,1.37,6,4,
415646,20,12,,1,1.08,5,5,
532541,33,4,,,1.5,1,,
337787,25,25,7,4,1.32,9,2,
429014,3,2,,,,,1,
614603,7,1,,,,,,
256977,29,26,2,3,1.73,11,2,
695454,30,23,3,6,1.3,7,5,
487465,13,13,1,1,0.85,5,3,
412669,37,28,2,1,1.21,15,,
204103,38,31,1,2,1.71,9,,
206040,34,34,6,4,1.24,8,5,2
292246,33,32,5,1,1.38,16,2,
505653,37,22,,,1.41,4,,
157509,27,24,1,,1.5,2,1,
272622,34,13,,1,1.62,1,,
121477,37,34,2,2,1.56,1,5,
48002,11,11,1,,2.09,1,1,
502065,11,,,,,,,
610706,5,,,,,,,
181380,29,13,1,1,1.31,2,1,
92571,31,31,2,3,1.45,2,3,
157672,31,28,,4,1.39,3,3,1
468002,32,20,1,,1.7,3,1,
140191,25,7,,,1.57,1,1,
559130,8,1,,,,,,
357662,36,36,1,4,1.47,,8,
283628,36,35,5,1,1.43,1,3,
337333,38,6,,1,1.67,2,,
419025,3,,,,,,,
538994,1,,,,,,,
31835,33,11,1,,1.45,2,,
561452,2,1,,,,,,
357885,36,36,6,4,1.39,13,4,
293200,38,24,1,1,1.33,8,,
135853,36,30,5,3,1.3,12,2,
290532,33,32,8,6,1.53,22,,
531461,10,,,,,,,
314875,36,36,12,12,1.47,12,6,
69015,35,19,1,,1.42,1,1,
104124,37,36,10,8,1.56,10,6,1
670877,5,1,,,,,,
148153,30,29,1,,1.38,,3,
212847,26,22,2,,1.73,3,5,
134270,32,29,1,1,1.66,2,8,
119269,30,18,1,,1.39,,7,
533523,14,,,,,,,
580809,2,,,,,,,
567597,9,,,,,,,
284857,36,36,1,1,1.25,3,6,
401604,9,6,,1,2,3,,
504148,33,30,,2,1.2,9,4,
111195,35,34,1,1,1.24,7,6,
687626,31,20,2,2,1.25,12,4,
410425,30,26,1,2,1.54,7,10,
490307,24,18,2,5,1.83,7,2,
534033,38,33,5,2,1.33,4,4,
384461,30,28,,3,1.18,10,2,
82873,35,29,2,4,1.34,10,1,
476237,27,9,,,1.11,5,,
484551,16,2,,,,,,
463751,10,,,,,,,
568005,12,5,,,0.8,1,,
43530,34,24,,1,1.5,10,4,
144028,35,34,8,3,1.29,10,2,
209212,37,31,,2,1.23,7,1,
776798,4,3,,,3,1,,
217115,37,32,8,2,1.25,6,7,
434207,9,4,,,1.25,1,,
67063,26,25,6,3,1.4,7,,
345468,27,22,2,2,0.91,9,2,
166240,21,12,2,1,1.08,4,,
177065,20,5,,,0.2,1,1,
648046,17,1,,,,,,
134270,32,29,1,1,1.66,2,8,
183318,34,26,1,,1.08,1,5,
135343,38,25,2,2,1.56,3,4,
98240,17,13,,1,0.69,1,2,
85475,18,7,,,0.86,1,,
250478,36,33,1,1,1.42,3,3,
346018,19,5,,,0.8,2,1,
170321,16,3,,,2.33,1,2,
95810,23,21,2,,1.86,7,1,
184528,35,20,,1,1.6,6,5,
162029,30,19,1,2,1.05,6,5,
520624,37,37,5,5,1.76,12,6,
206225,17,14,1,,0.36,3,5,
340329,31,29,2,,1.28,15,,
346707,37,24,1,1,1.29,3,1,
71292,25,24,2,1,1.5,3,5,1
148262,17,3,1,,,,,
484387,11,5,,,0.8,3,1,
626291,4,,,,,,,
92469,30,18,,2,0.67,1,5,
333241,36,35,4,1,1.31,6,8,
567576,5,,,,,,,
614811,3,,,,,,,
272642,35,35,5,5,1.2,11,6,
146795,30,27,2,3,1.19,13,3,
272999,36,30,1,,1.2,14,2,
199527,38,33,1,2,1.24,4,4,
123682,18,18,8,,0.83,5,4,
108725,35,34,5,,1.26,14,1,
196522,36,8,,,1.5,,1,
246291,30,28,3,,1.18,4,7,
328784,21,20,,,1.05,2,3,
75067,22,21,,1,1.19,1,5,
597659,31,5,,,1.4,,1,
661208,16,2,,,1.5,,,
746067,4,,,,,,,
410708,31,29,1,,1,2,6,
374139,25,24,,2,0.83,8,11,
614082,11,1,,,,,,
67420,26,26,2,2,0.85,2,4,
158764,34,34,1,1,1,3,5,
531957,10,3,,,1,,1,
351749,23,20,,1,1.2,2,4,
734375,9,,,,,,,
581677,14,,,,,,1,
92738,37,33,1,2,0.97,19,5,
534700,28,14,,,0.86,4,4,
121257,26,22,,1,1.05,4,5,
587003,16,3,,,1,2,,
532178,21,7,,2,1.57,1,,
922693,6,,,,,,,
417346,37,35,8,1,0.89,12,3,
592474,9,1,,,,,,
411295,35,35,11,3,1,8,7,
319301,35,34,4,5,1.12,12,7,
173900,36,23,,1,1.22,8,3,
474701,25,6,,,0.83,1,,
183334,10,9,2,2,1.11,3,1,
131505,33,31,6,1,1.06,11,9,
296986,27,23,1,1,0.83,3,5,
503980,31,20,2,4,0.65,3,4,
243028,37,31,4,,1.16,4,10,
563963,36,34,,,1.09,,8,1
163744,22,11,,,0.73,1,3,
379807,24,15,,,1.07,,2,
503976,3,,,,,,,
318523,35,20,,1,1,4,3,
746554,3,,,,,,,
503981,28,28,1,2,1.14,3,2,
341051,37,32,1,2,1,2,5,
406008,34,5,,,0.8,,,
413032,35,23,,2,1.13,3,1,
66100,37,36,2,2,1.08,13,9,
181579,36,36,10,5,1,1,3,
130765,27,25,2,1,1.32,7,1,
444211,16,4,,,0.25,2,,
703577,1,,,,,,,
866655,1,,,,,,,
186644,35,30,4,2,1.1,11,4,
485424,22,12,,,1.08,3,3,
129078,30,27,1,5,0.93,6,,
340322,28,14,,1,0.79,9,2,
33713,23,9,,,1.33,5,,
571743,32,32,6,1,1.13,16,2,
