,Unnamed: 0,season_id,player_id,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards,player_name,date_of_birth,height,foot,position,mk_value,agent,apprance,score,goals_conceded,clean_sheets
25,25.0,2021,346483,31.42857142857143,47.61904761904762,65.66666666666667,23.333333333333336,25.0,0.0,Mason Mount,10-Jan-99,1.81,right,Attacking Midfield,75000000.0,Relatives ,91.42857142857144,82.56923525410554,,
26,26.0,2021,346483,31.42857142857143,47.61904761904762,65.66666666666667,23.333333333333336,25.0,0.0,Mason Mount,10-Jan-99,1.81,right,Attacking Midfield,40500000.0,Relatives ,91.42857142857144,82.56923525410554,,
27,27.0,2021,346483,31.42857142857143,47.61904761904762,65.66666666666667,23.333333333333336,25.0,0.0,Mason Mount,10-Jan-99,1.81,right,Attacking Midfield,75000000.0,Relatives ,91.42857142857144,82.56923525410554,,
28,28.0,2021,346483,31.42857142857143,47.61904761904762,65.66666666666667,23.333333333333336,25.0,0.0,Mason Mount,10-Jan-99,1.81,right,Attacking Midfield,75000000.0,Relatives ,91.42857142857144,82.56923525410554,,
29,29.0,2021,598577,20.0,47.61904761904762,59.66666666666667,46.66666666666667,12.5,0.0,Florian Wirtz,3-May-03,1.76,right,Attacking Midfield,0.0,Relatives ,100.0,82.1047517248081,,
30,30.0,2021,598577,20.0,47.61904761904762,59.66666666666667,46.66666666666667,12.5,0.0,Florian Wirtz,3-May-03,1.76,right,Attacking Midfield,45000000.0,Relatives ,100.0,82.1047517248081,,
31,31.0,2021,598577,20.0,47.61904761904762,59.66666666666667,46.66666666666667,12.5,0.0,Florian Wirtz,3-May-03,1.76,right,Attacking Midfield,70000000.0,Relatives ,100.0,82.1047517248081,,
32,32.0,2021,266359,31.42857142857143,61.90476190476191,0.0,76.66666666666667,12.5,0.0,Benjamin Bourigeaud,14-Jan-94,1.78,right,Right Midfield,12000000.0,P&P Sport ... ,100.0,79.71042658633758,,
33,33.0,2021,266359,31.42857142857143,61.90476190476191,0.0,76.66666666666667,12.5,0.0,Benjamin Bourigeaud,14-Jan-94,1.78,right,Right Midfield,15000000.0,P&P Sport ... ,100.0,79.71042658633758,,
34,34.0,2021,266359,31.42857142857143,61.90476190476191,0.0,76.66666666666667,12.5,0.0,Benjamin Bourigeaud,14-Jan-94,1.78,right,Right Midfield,18000000.0,P&P Sport ... ,100.0,79.71042658633758,,
35,35.0,2021,266359,31.42857142857143,61.90476190476191,0.0,76.66666666666667,12.5,0.0,Benjamin Bourigeaud,14-Jan-94,1.78,right,Right Midfield,12000000.0,P&P Sport ... ,100.0,79.71042658633758,,
36,36.0,2021,266359,31.42857142857143,61.90476190476191,0.0,76.66666666666667,12.5,0.0,Benjamin Bourigeaud,14-Jan-94,1.78,right,Right Midfield,12000000.0,P&P Sport ... ,100.0,79.71042658633758,,
37,37.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,20000000.0,Relatives ,100.0,79.63560392576038,,
38,38.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,40000000.0,Relatives ,100.0,79.63560392576038,,
39,39.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,20000000.0,Relatives ,100.0,79.63560392576038,,
40,40.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,50000000.0,Relatives ,100.0,79.63560392576038,,
41,41.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,10000000.0,Relatives ,100.0,79.63560392576038,,
42,42.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,40000000.0,Relatives ,100.0,79.63560392576038,,
43,43.0,2021,187492,25.714285714285715,38.095238095238095,67.66666666666667,46.66666666666667,18.75,0.0,Julian Brandt,2-May-96,1.85,right,Attacking Midfield,25000000.0,Relatives ,100.0,79.63560392576038,,
44,44.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,48000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
45,45.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,40000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
46,46.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,1500000.0,CAA Base Ltd ,100.0,78.30628704693422,,
47,47.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,48000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
48,48.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,1500000.0,CAA Base Ltd ,100.0,78.30628704693422,,
49,49.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,40000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
50,50.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,50000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
51,51.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,55000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
52,52.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,50000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
53,53.0,2021,294057,34.285714285714285,38.095238095238095,46.66666666666666,46.66666666666667,18.75,0.0,James Maddison,23-Nov-96,1.75,right,Attacking Midfield,55000000.0,CAA Base Ltd ,100.0,78.30628704693422,,
54,54.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,23000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
55,55.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,5000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
56,56.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,5000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
57,57.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,10000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
58,58.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,12500000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
59,59.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,22000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
60,60.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,26000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
61,61.0,2021,37647,34.285714285714285,47.61904761904762,0.0,20.0,18.75,0.0,Dimitri Payet,29-Mar-87,1.75,right,Attacking Midfield,26000000.0,J.Gomes Avocat ,100.0,77.52890875522301,,
62,62.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,2500000.0,P&P Sport ... ,100.0,75.80410067048878,,
63,63.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,23000000.0,P&P Sport ... ,100.0,75.80410067048878,,
64,64.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,14000000.0,P&P Sport ... ,100.0,75.80410067048878,,
65,65.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,5000000.0,P&P Sport ... ,100.0,75.80410067048878,,
66,66.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,5500000.0,P&P Sport ... ,100.0,75.80410067048878,,
67,67.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,20000000.0,P&P Sport ... ,100.0,75.80410067048878,,
68,68.0,2021,25488,20.0,57.14285714285714,0.0,36.66666666666667,37.5,0.0,Antonio Candreva,28-Feb-87,1.8,right,Right Midfield,2500000.0,P&P Sport ... ,100.0,75.80410067048878,,
69,69.0,2021,581678,8.571428571428571,38.095238095238095,68.66666666666667,16.666666666666668,56.25,0.0,Jude Bellingham,29-Jun-03,1.86,right,Central Midfield,80000000.0,0,100.0,74.98882518705666,,
70,70.0,2021,581678,8.571428571428571,38.095238095238095,68.66666666666667,16.666666666666668,56.25,0.0,Jude Bellingham,29-Jun-03,1.86,right,Central Midfield,55000000.0,0,100.0,74.98882518705666,,
71,71.0,2021,266302,31.42857142857143,52.38095238095238,0.0,30.0,25.0,50.0,Sergej Milinkovic-Savic,27-Feb-95,1.91,right,Central Midfield,90000000.0,Mateja Kezman ,100.0,73.75376542610049,,
72,72.0,2021,266302,31.42857142857143,52.38095238095238,0.0,30.0,25.0,50.0,Sergej Milinkovic-Savic,27-Feb-95,1.91,right,Central Midfield,65000000.0,Mateja Kezman ,100.0,73.75376542610049,,
