,name,player_name,mk_value
0,Jon McCracken,Jon McCracken,100000.0
1,Patrik Gunnarsson,Patrik Gunnarsson,500000.0
2,Álex Primo,Álex Primo,100000.0
3,Jesús Owono,Jesús Owono,200000.0
4,Luca Lezzerini,Luca Lezzerini,500000.0
5,Matthieu Dreyer,Matthieu Dreyer,600000.0
