,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5378,696764,1123,Abu Kamara,Centre-Forward,2021,,21-Jul-03,17.0,"1,83",left,OmniSports 
5379,120186,1010,Daniel Bachmann,Goalkeeper,2021,2500000.0,9-Jul-94,26.0,"1,91",right,Triple S Sports 
5380,365544,1010,Pontus Dahlberg,Goalkeeper,2021,1000000.0,21-Jan-99,22.0,"1,94",right,Unique Sports Group 
5381,13572,1010,Ben Foster,Goalkeeper,2021,300000.0,3-Apr-83,38.0,"1,93",left,Refuel Performance ... 
5382,39037,1010,Rob Elliot,Goalkeeper,2021,200000.0,30-Apr-86,35.0,"1,90",left,
5383,736251,1010,Vincent Angelini,Goalkeeper,2021,,12-Sep-03,17.0,"1,90",right,FA Sport 
5386,81512,1010,Christian Kabasele,Centre-Back,2021,3000000.0,24-Feb-91,30.0,"1,87",right,
5389,59606,1010,Craig Cathcart,Centre-Back,2021,1200000.0,6-Feb-89,32.0,"1,89",right,
5390,624948,1010,Mattie Pollock,Centre-Back,2021,300000.0,28-Sep-01,19.0,"1,90",right,Wasserman 
5391,591360,1010,Derek Agyakwa,Centre-Back,2021,100000.0,19-Dec-01,19.0,"1,90",right,PURE 
5394,50174,1010,Danny Rose,Left-Back,2021,2200000.0,2-Jul-90,30.0,"1,73",left,Gea World 
5395,610621,1010,James Morris,Left-Back,2021,,23-Nov-01,19.0,"1,83",left,CAA Base Ltd 
5396,503795,1010,Jeremy Ngakia,Right-Back,2021,3500000.0,7-Sep-00,20.0,"1,84",right,
5398,486477,1010,Edo Kayembe,Defensive Midfield,2021,3000000.0,3-Jun-98,23.0,"1,83",left,Creative & ... 
5399,522131,1010,Jaime Alvarado,Defensive Midfield,2021,250000.0,26-Jul-99,21.0,"1,80",right,The Special One 
5401,46001,1010,Moussa Sissoko,Central Midfield,2021,4500000.0,16-Aug-89,31.0,"1,87",right,
5402,236471,1010,Ozan Tufan,Central Midfield,2021,3800000.0,23-Mar-95,26.0,"1,82",right,FutureBall 
5404,346472,1010,Tom Dele-Bashiru,Central Midfield,2021,2500000.0,17-Sep-99,21.0,"1,78",right,Wonder Sports 
5406,73484,1010,Tom Cleverley,Central Midfield,2021,1800000.0,12-Aug-89,31.0,"1,75",right,Pinnacle Sports 
