defence_score,attack_score,diffrence
7540.814812045862,3969.5010020314485,3571.3138100144133
5388.982998107118,2542.1268258189357,2846.8561722881823
6214.572443248545,3576.3137229299514,2638.2587203185935
4859.342090062836,2563.9754850705917,2295.3666049922444
5133.611173599045,3172.268864189778,1961.3423094092673
6210.324453571394,4322.12175448409,1888.2026990873037
3491.9914022310536,1628.3336593126785,1863.657742918375
3407.2138022970994,1670.1231215336877,1737.0906807634117
4603.688920027172,2916.717179288355,1686.9717407388166
3374.569776811497,1832.4162843200684,1542.1534924914286
3323.020592606069,1879.548415950976,1443.4721766550929
4461.450862571076,3095.2196671096144,1366.2311954614615
3290.8032842839307,2101.64858921819,1189.1546950657407
3749.0516263531426,2562.106639511042,1186.9449868421007
2236.801625161311,1066.3157788075687,1170.4858463537425
3604.34622982782,2526.0376760004947,1078.3085538273253
2420.1189776111073,1355.1574441253501,1064.9615334857572
3070.9683199612987,2094.655541628214,976.3127783330847
3589.499726085098,2797.7374987652574,791.7622273198403
4267.936247894738,3511.91948651119,756.0167613835479
2195.6369249269815,1485.0472513556424,710.5896735713391
2137.6858325951794,1502.270866147956,635.4149664472234
2156.135505698695,1579.3878776454426,576.7476280532524
2789.8045205926383,2229.5863289053864,560.2181916872519
2370.9325862111627,1846.78107830145,524.1515079097128
2357.7823588138685,1865.5049569932387,492.27740182062985
995.0285868514277,536.9899925343474,458.0385943170803
2228.3394592300365,1802.8209456367554,425.5185135932811
1800.9925517030229,1400.4845870408797,400.5079646621432
2075.9572102164007,1681.6350471750866,394.32216304131407
3625.329620722155,3251.785872341957,373.54374838019794
1621.4645556276682,1266.2274121952023,355.2371434324659
802.263111457508,456.28265416412887,345.9804572933791
1253.5170015223698,911.4209751009203,342.09602642144955
1479.653918882092,1138.9053082373516,340.74861064474044
1095.9618289319376,778.2937640258292,317.6680649061084
333.9616600790514,19.999999999999996,313.9616600790514
2738.162985181348,2447.0770318468335,291.08595333451467
3518.457729672673,3245.171286567711,273.286443104962
1797.358320624523,1557.2986992505773,240.05962137394567
430.12777777777774,203.68659281894577,226.44118495883197
905.8239920996542,688.1291571645544,217.69483493509983
398.8827614379085,183.33212211030423,215.5506393276043
1048.117077933448,838.2461463976944,209.87093153575358
1168.198767305798,961.2609416370079,206.93782566878997
1429.5407591646704,1233.6654782644075,195.87528090026285
1768.756654902886,1588.4141887189269,180.34246618395923
468.47468887736585,295.9240990407052,172.55058983666066
219.64269626769627,60.482142857142854,159.1605534105534
1536.021951410784,1378.355005118459,157.66694629232484
292.54476264189884,136.42499999999998,156.11976264189886
1408.641924815644,1276.6441034218785,131.99782139376543
592.0167604032208,467.6581596254771,124.35860077774373
488.5664651493599,365.48101638504863,123.08544876431125
147.71785714285716,72.4702380952381,75.24761904761905
1132.2289087438444,1075.5468305131917,56.68207823065268
149.51923076923077,100.10673963133641,49.412491137894364
94.65,56.8289897039897,37.82101029601031
63.938614081996434,27.79814425770308,36.140469824293355
53.6447963800905,21.116071428571427,32.52872495151907
1459.05688399909,1431.9899320462973,27.06695195279258
167.925,141.22518315018314,26.69981684981687
67.13043478260869,45.20634390119683,21.924090881411857
105.75980392156862,93.06683087027915,12.69297305128947
196.0251882175795,185.07208646616542,10.953101751414096
118.06041120901801,107.96590909090908,10.094502118108934
91.13515406162466,83.10357142857143,8.031582633053233
102.34848484848484,99.7642857142857,2.584199134199139
75.97619047619048,73.99404761904762,1.9821428571428612
919.2941324671201,918.0002890040815,1.29384346303857
73.08928571428571,81.5010093167702,-8.411723602484486
36.825,50.94047619047619,-14.115476190476187
635.9883483045311,652.6412232684329,-16.65287496390181
1576.0830179996397,1595.491860700066,-19.40884270042625
9.5,29.47243107769423,-19.97243107769423
26.121130030959748,48.94642857142858,-22.82529854046883
83.95098039215688,116.40178571428571,-32.45080532212883
311.26243842364534,344.6795518207283,-33.41711339708297
650.975,687.8750956783852,-36.90009567838513
83.3472850678733,122.94540328092957,-39.59811821305627
930.7341298849263,971.832079107315,-41.097949222388706
111.625,155.83582949308754,-44.210829493087545
1835.032737646741,1883.4376133926778,-48.404875745936806
1864.8341784107809,1913.3870473607003,-48.55286894991946
689.8858202043921,739.7198332405816,-49.8340130361895
1897.4982565672485,1949.7549857250651,-52.25672915781661
106.52272727272728,161.62587615087614,-55.10314887814886
777.7788897847105,844.8992386327311,-67.12034884802063
961.0057262597127,1032.0664884030887,-71.060762143376
1553.1210110361199,1625.2970133602257,-72.17600232410587
41.36655145929339,115.15814028314028,-73.7915888238469
687.3067178117487,765.2152469162918,-77.90852910454305
1616.9555829730753,1700.4989989093278,-83.54341593625259
58.17692307692309,144.6899891774892,-86.5130661005661
293.371138996139,392.7131573607892,-99.34201836465019
-7.125,102.76207983193277,-109.88707983193277
712.7503042823662,841.8727638337192,-129.12245955135302
103.92050092591889,237.36742764168483,-133.44692671576593
75.6953781512605,213.6900667617319,-137.99468861047143
1665.5880066930647,1817.903493153015,-152.3154864599503
620.0360183149656,773.6185491113123,-153.58253079634665
