club_id,player_id,games_played,total_games
281,258004,34,38
281,258004,29,31
281,258004,34,38
281,258004,29,31
281,176553,35,36
281,176553,15,17
281,176553,16,28
281,176553,33,35
281,176553,15,17
281,176553,16,28
281,176553,33,35
281,176553,26,27
281,176553,33,33
281,176553,28,33
281,186590,33,33
281,186590,24,34
281,186590,16,21
281,186590,22,34
281,186590,14,27
281,186590,16,21
281,186590,22,34
281,177476,24,27
281,177476,24,27
281,177476,12,28
281,177476,12,28
281,177476,38,38
281,177476,38,38
281,177476,29,30
281,177476,10,17
281,177476,14,36
281,177476,29,30
281,177476,10,17
281,177476,14,36
281,340460,,1
281,340460,4,7
281,340460,4,7
281,340460,4,7
281,581669,1,7
281,581669,1,7
281,609883,,2
281,609883,,14
281,609883,,2
281,609883,,14
281,203853,12,25
281,203853,14,21
281,203853,19,24
281,203853,20,28
281,203853,15,32
281,203853,19,24
281,203853,20,28
281,203853,15,32
281,576121,,6
281,576121,,6
281,157495,10,11
281,157495,19,27
281,157495,13,32
281,157495,1,2
281,157495,19,27
281,157495,13,32
281,157495,1,2
281,157495,24,24
281,157495,25,25
281,182712,17,34
281,182712,28,34
281,182712,36,37
281,182712,17,34
281,182712,28,34
281,182712,36,37
281,182712,27,33
281,182712,25,32
281,182712,28,29
281,182712,35,35
281,182712,27,33
281,95424,33,36
281,95424,33,35
281,95424,33,37
281,95424,29,36
281,95424,24,33
281,95424,20,27
281,95424,29,36
281,95424,24,33
281,95424,20,27
281,627228,28,29
281,627228,28,29
281,357565,35,36
281,357565,34,38
281,357565,33,35
281,357565,35,36
281,357565,34,38
281,357565,33,35
281,357565,3,5
281,357565,23,34
281,357565,37,37
281,357565,34,37
281,628451,,9
281,628451,,9
281,26267,33,35
281,26267,32,32
281,26267,29,29
281,26267,30,36
281,26267,21,32
281,26267,32,51
281,26267,30,36
281,26267,21,32
281,26267,32,51
281,395239,,1
281,395239,,1
281,53622,10,10
281,53622,31,32
281,53622,31,36
281,53622,28,34
281,53622,27,35
281,53622,25,26
281,53622,31,36
281,53622,28,34
281,53622,27,35
281,53622,25,26
281,583199,2,13
281,583199,2,13
281,433183,1,6
281,433183,,5
281,433183,,2
281,433183,1,6
281,433183,,5
281,433183,,2
281,88755,27,28
281,88755,36,37
281,88755,19,20
281,88755,35,36
281,88755,25,29
281,88755,30,33
281,88755,27,28
281,88755,35,36
281,88755,25,29
281,88755,30,33
281,88755,27,28
281,241641,36,37
281,241641,34,37
281,241641,26,36
281,241641,35,38
281,241641,34,37
281,241641,26,36
281,241641,35,38
281,241641,32,32
281,241641,37,37
281,568177,,2
281,568177,,6
281,568177,4,24
281,568177,,2
281,568177,,6
281,568177,4,24
281,406635,13,29
281,406635,23,36
281,406635,28,38
281,406635,28,33
281,406635,23,36
281,406635,28,38
281,406635,28,33
281,134425,31,34
281,134425,33,35
281,134425,34,38
281,134425,33,36
281,134425,31,36
281,134425,30,37
281,134425,33,36
281,134425,31,36
281,134425,30,37
281,203460,16,25
281,203460,36,36
281,203460,26,26
281,203460,26,34
281,203460,36,36
281,203460,26,26
281,203460,26,34
281,398184,22,25
281,398184,24,37
281,398184,22,25
281,398184,13,21
281,398184,24,36
281,398184,34,37
281,398184,22,25
281,680806,,1
281,680806,,1
281,171424,37,38
281,171424,36,36
281,171424,36,36
281,171424,27,37
281,171424,33,38
281,171424,27,37
281,171424,28,36
281,171424,33,38
281,171424,27,37
281,171424,28,36
281,668265,1,3
281,668265,1,3
281,363205,10,10
281,363205,34,35
281,363205,29,30
281,363205,28,34
281,363205,34,35
281,363205,29,30
281,363205,28,34
281,610849,1,6
281,610849,1,4
281,610849,1,6
281,610849,1,4
31,139208,39,39
31,139208,21,21
31,139208,26,29
31,139208,26,29
31,139208,38,38
31,139208,5,5
31,139208,34,35
31,139208,5,5
31,139208,34,35
31,357119,11,37
31,357119,11,37
31,357119,16,27
31,357119,8,12
31,357119,14,24
31,256178,5,8
31,256178,,5
31,256178,23,29
31,256178,28,37
31,256178,7,7
31,256178,8,29
31,256178,7,7
31,256178,8,29
31,82105,29,31
31,82105,25,26
31,82105,9,16
31,82105,10,10
31,82105,31,35
31,82105,10,10
31,82105,31,35
31,82105,34,34
31,371814,,2
31,371814,17,30
31,371814,,4
31,371814,17,30
31,371814,,4
31,503679,9,25
31,503679,,1
31,503679,9,25
31,503679,,1
31,257097,,4
31,257097,,4
31,696324,,3
31,696324,,3
31,632349,,1
31,234803,33,34
31,234803,22,27
31,234803,36,37
31,234803,36,36
31,234803,38,38
31,234803,29,33
31,338070,2,22
31,338070,13,36
31,551001,,3
31,314353,7,23
31,314353,19,35
31,314353,29,33
31,314353,38,38
31,314353,36,36
31,314353,32,34
31,314353,38,38
31,503680,6,15
31,503680,6,31
31,503680,1,13
31,624258,,1
31,225693,28,34
31,225693,28,30
31,225693,30,30
31,225693,29,30
31,225693,34,34
31,225693,37,37
31,225693,34,34
31,433188,,1
31,433188,,1
31,433188,6,16
31,433188,24,36
31,433188,15,25
31,302215,25,32
31,302215,18,27
31,302215,10,18
31,302215,23,29
31,302215,31,32
31,302215,27,28
31,60444,24,25
31,60444,25,26
31,60444,27,31
31,60444,27,31
31,60444,27,30
31,60444,19,20
31,60444,24,25
31,143424,22,23
31,143424,29,33
31,143424,35,35
31,143424,2,3
31,143424,30,34
31,143424,13,25
31,143424,17,29
31,61651,17,19
31,61651,24,24
31,61651,27,31
31,61651,32,33
31,61651,30,31
31,61651,21,23
31,61651,35,35
31,618494,2,9
31,3333,28,29
31,3333,36,36
31,3333,32,37
31,3333,31,33
31,3333,22,27
31,3333,26,30
31,3333,24,32
31,565822,2,5
31,565822,2,12
31,565822,6,12
31,565822,2,5
31,344015,5,17
31,344015,1,6
31,344015,,3
31,344015,24,30
31,200512,37,38
31,200512,27,27
31,200512,29,32
31,200512,36,36
31,200512,35,36
31,200512,35,35
31,200512,34,34
31,480692,31,34
31,340950,33,33
31,340950,34,34
31,340950,19,20
31,340950,35,36
31,340950,33,33
31,340950,34,34
31,340950,19,20
31,340950,19,20
31,340950,27,30
31,165793,24,33
31,165793,19,35
31,165793,19,35
31,165793,11,26
31,165793,19,35
31,165793,19,35
31,148455,36,36
31,148455,38,38
31,148455,34,37
31,148455,37,37
31,148455,35,35
31,148455,37,37
31,148455,34,34
31,148455,31,32
31,236510,8,8
31,236510,15,22
31,236510,19,21
31,236510,15,22
31,732119,1,4
31,131789,31,31
31,131789,35,35
31,131789,37,38
31,131789,34,34
31,131789,38,38
31,131789,36,36
31,131789,20,22
31,131789,36,36
31,148368,16,23
31,148368,34,38
31,148368,32,33
31,148368,12,25
31,148368,28,37
31,148368,9,26
31,148368,7,18
31,148368,28,37
31,148368,9,26
31,148368,32,33
631,86202,33,35
631,86202,20,23
631,86202,19,32
631,86202,34,35
631,86202,20,23
631,86202,19,32
631,86202,34,35
631,86202,30,32
631,86202,26,27
631,196948,31,31
631,196948,8,30
631,196948,21,35
631,196948,17,23
631,196948,19,28
631,196948,31,34
631,196948,21,35
631,196948,17,23
631,196948,19,28
631,196948,31,34
631,196948,31,31
631,157509,23,25
631,157509,9,22
631,157509,34,34
631,157509,32,34
631,157509,28,35
631,157509,24,35
631,157509,24,27
631,157509,24,27
631,157509,28,35
631,157509,24,35
631,157509,24,27
631,157509,24,27
631,346314,20,33
631,346314,20,33
631,346314,29,31
631,344596,8,29
631,344596,8,29
631,344596,27,33
631,344596,21,32
631,344596,35,37
631,344596,19,23
631,29241,23,25
