,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
44,9594,281,Vincent Kompany,Centre-Back,2015,,"Apr 10, 1986 ",37.0,"1,90",right,
45,90681,281,Eliaquim Mangala,Centre-Back,2015,700000.0,"Feb 13, 1991 ",32.0,"1,87",left,Team Spirit ... 
46,277114,281,Jason Denayer,Centre-Back,2015,8000000.0,"Jun 28, 1995 ",27.0,"1,84",right,Quadrans 
47,2963,281,Martín Demichelis,Centre-Back,2015,,"Dec 20, 1980 ",42.0,"1,84",right,Jorge Cyterszpiler 
48,258878,281,Tosin Adarabioyo,Centre-Back,2015,15000000.0,"Sep 24, 1997 ",25.0,"1,96",right,CLOSEVIEW 
49,277723,281,Cameron Humphreys,Centre-Back,2015,900000.0,"Aug 22, 1998 ",24.0,"1,87",right,YMU Group 
50,46156,281,Aleksandar Kolarov,Left-Back,2015,,"Nov 10, 1985 ",37.0,"1,87",left,World Soccer Agency 
51,7449,281,Gaël Clichy,Left-Back,2015,100000.0,"Jul 26, 1985 ",37.0,"1,76",left,Darren Dein 
52,277179,281,Angeliño,Left-Back,2015,14000000.0,"Jan 4, 1997 ",26.0,"1,71",left,VIDA 11 
53,15956,281,Jesús Navas,Right-Back,2015,3000000.0,"Nov 21, 1985 ",37.0,"1,72",right,Bahía Internacional 
54,20007,281,Pablo Zabaleta,Right-Back,2015,,"Jan 16, 1985 ",38.0,"1,76",right,Entourage Sports 
55,26764,281,Bacary Sagna,Right-Back,2015,,"Feb 14, 1983 ",40.0,"1,76",right,
56,251876,281,Pablo Maffeo,Right-Back,2015,8000000.0,"Jul 12, 1997 ",25.0,"1,72",right,Promoesport 
57,210202,281,James Horsfield,,2015,,"Nov 30, 1995 ",27.0,"1,78",right,SME 83 
58,26267,281,Fernandinho,Defensive Midfield,2015,800000.0,"May 4, 1985 ",38.0,"1,79",right,Branchini Associati ... 
59,51174,281,Fernando,Defensive Midfield,2015,3000000.0,"Jul 25, 1987 ",35.0,"1,83",right,no agent 
60,181498,281,George Evans,Defensive Midfield,2015,500000.0,"Dec 13, 1994 ",28.0,"1,84",right,Wasserman 
61,114365,281,Luke Brattan,Defensive Midfield,2015,600000.0,"Mar 8, 1990 ",33.0,"1,75",right,The Pitch management 
62,201570,281,George Glendon,Defensive Midfield,2015,,"May 3, 1995 ",28.0,"1,77",right,
63,13091,281,Yaya Touré,Central Midfield,2015,,"May 13, 1983 ",40.0,"1,88",right,FA Sport 
64,50362,281,Fabian Delph,Central Midfield,2015,,"Nov 21, 1989 ",33.0,"1,74",left,Wasserman 
65,261504,281,Aleix García,Central Midfield,2015,10000000.0,"Jun 28, 1997 ",25.0,"1,73",right,MagicPlayers 
66,88755,281,Kevin De Bruyne,Attacking Midfield,2015,80000000.0,"Jun 28, 1991 ",31.0,"1,81",right,
67,35518,281,David Silva,Attacking Midfield,2015,4000000.0,"Jan 8, 1986 ",37.0,"1,70",left,IFM 
68,18935,281,Samir Nasri,Attacking Midfield,2015,,"Jun 26, 1987 ",35.0,"1,77",right,DOUBLE DIAMOND ... 
69,229695,281,Bersant Celina,Attacking Midfield,2015,3000000.0,"Sep 9, 1996 ",26.0,"1,81",right,LIAN Sports Group 
70,277118,281,Manu García,Attacking Midfield,2015,3500000.0,"Jan 2, 1998 ",25.0,"1,69",right,IFM 
71,134425,281,Raheem Sterling,Left Winger,2015,60000000.0,"Dec 8, 1994 ",28.0,"1,70",right,Relatives 
72,214927,281,Brandon Barker,Left Winger,2015,350000.0,"Oct 4, 1996 ",26.0,"1,80",right,
73,225452,281,Patrick Roberts,Right Winger,2015,2500000.0,"Feb 5, 1997 ",26.0,"1,67",left,CAA Base Ltd 
74,26399,281,Sergio Agüero,Centre-Forward,2015,,"Jun 2, 1988 ",34.0,"1,73",right,Eleven Talent Group 
75,81808,281,Wilfried Bony,Centre-Forward,2015,100000.0,"Dec 10, 1988 ",34.0,"1,83",right,
76,295330,281,Kelechi Iheanacho,Centre-Forward,2015,17000000.0,"Oct 3, 1996 ",26.0,"1,85",left,
77,272624,281,David Faupala,Centre-Forward,2015,,"Feb 11, 1997 ",26.0,"1,85",right,
78,5658,11,Petr Cech,Goalkeeper,2015,,"May 20, 1982 ",41.0,"1,96",left,
79,73396,11,David Ospina,Goalkeeper,2015,4500000.0,"Aug 31, 1988 ",34.0,"1,83",right,Alinea 
80,111873,11,Emiliano Martínez,Goalkeeper,2015,28000000.0,"Sep 2, 1992 ",30.0,"1,95",right,Universal Twenty Two 
81,220491,11,Matt Macey,Goalkeeper,2015,400000.0,"Sep 9, 1994 ",28.0,"2,01",right,Midas Sports 
